ID,D - Location,D - Age,D - Gender/SexIdent,D - EducationLevel,H - Age Learn_Spanish,H - Age Learn_English,H - Age Learn_Triqui,H - Years Comfort_Spanish,H - Years Comfort_English,H - Years Comfort_Triqui,H - Years Ed_Spanish,H - Years Ed_English,H - Years Ed_Triqui,H - Country/Region_Spanish,H - Country/Region_English,H - Country/Region_Triqui,H - FamilyHistory_Spanish,H - FamilyHistory_English,H - FamilyHistory_Triqui,H - Work Enviro History_Spanish,H - Work Enviro History_English,H - Work Enviro History_Triqui,U - FriendsUse_Spanish,U - FriendsUse_English,U - FriendsUse_Triqui,U - FamilyUse_Spanish,U - FamilyUse_English,U - FamilyUse_Triqui,U - Home/WorkUse_Spanish,U - Home/WorkUse_English,U - Home/WorkUse_Triqui,U - YourselfUse_Spanish,U - YourselfUse_English,U - YourselfUse_Triqui,S - SpeakSkill_Spanish,S - SpeakSkill_English,S - SpeakSkill_Triqui,S - Understand_Spanish,S - Understand_English,S - Understand_Triqui,S - Read_Spanish,S - Read_English,S - Read_Triqui,S - Write_Spanish,Write_English,Write_Triqui
13751,California,19,Mujer,Escuela secundaria,0-5 años,0-5 años,0-5 años,0-5 años,0-5 años,0-5 años,6-10 años,6-10 años,6-10 años,6-10 años,0-5 años,0-5 años,0-5 años,0-5 años,0-5 años,0-5 años,0-5 años,0-5 años,casi siempre,casi nunca,casi siempre,casi siempre,casi nunca,casi siempre,casi siempre,a veces,casi siempre,casi siempre,a veces,casi siempre,excelente,regular,bien,excelente,regular,bien,bien,regular,bien,bien,regular,bien
38362,New York,31,Mujer,"Universidad (diplomatura, licenciatura.)",0-5 años,11-15 años,0-5 años,6-10 años,16-20 años,0-5 años,6-10 años,11-15 años,0-5 años,0-5 años,11-15 años,11-15 años,6-10 años,0-5 años,6-10 años,0-5 años,6-10 años,0-5 años,a veces,casi siempre,a veces,a veces,a veces,a veces,a veces,casi siempre,a veces,a veces,casi siempre,a veces,excelente,excelente,excelente,excelente,excelente,excelente,excelente,excelente,bien,excelente,excelente,mal
54832,New York,26,Hombre,"Universidad (diplomatura, licenciatura.)",6-10 años,11-15 años,0-5 años,más de 20 años,11-15 años,más de 20 años,6-10 años,6-10 años,0-5 años,11-15 años,6-10 años,0-5 años,6-10 años,6-10 años,0-5 años,0-5 años,6-10 años,0-5 años,a veces,casi siempre,casi siempre,a veces,nunca,casi siempre,nunca,siempre,nunca,a veces,casi siempre,casi siempre,bien,excelente,excelente,excelente,excelente,excelente,bien,bien,regular,bien,bien,mal
83844,California,,Mujer,Escuela secundaria,0-5 años,16-20 años,0-5 años,0-5 años,11-15 años,0-5 años,6-10 años,11-15 años,0-5 años,16-20 años,,16-20 años,más de 20 años,,16-20 años,0-5 años,11-15 años,16-20 años,casi siempre,a veces,siempre,casi siempre,a veces,siempre,siempre,a veces,siempre,siempre,casi nunca,siempre,bien,regular,excelente,excelente,regular,bien,bien,regular,bien,bien,regular,bien
59074,California,31,Hombre,Escuela secundaria,6-10 años,16-20 años,0-5 años,16-20 años,más de 20 años,0-5 años,6-10 años,16-20 años,6-10 años,11-15 años,0-5 años,más de 20 años,0-5 años,6-10 años,más de 20 años,16-20 años,6-10 años,más de 20 años,siempre,a veces,siempre,siempre,a veces,siempre,siempre,a veces,siempre,a veces,a veces,siempre,bien,bien,excelente,bien,bien,excelente,bien,bien,mal,bien,regular,mal
35984,California,18,Mujer,Escuela secundaria,0-5 años,6-10 años,0-5 años,16-20 años,16-20 años,16-20 años,0-5 años,16-20 años,0-5 años,16-20 años,16-20 años,16-20 años,16-20 años,16-20 años,16-20 años,16-20 años,16-20 años,0-5 años,siempre,a veces,siempre,siempre,a veces,siempre,siempre,siempre,siempre,siempre,casi nunca,casi siempre,excelente,excelente,excelente,excelente,excelente,excelente,excelente,excelente,bien,excelente,excelente,bien
32183,California,19,Hombre,Escuela secundaria,0-5 años,6-10 años,0-5 años,0-5 años,6-10 años,0-5 años,0-5 años,6-10 años,0-5 años,0-5 años,,,11-15 años,6-10 años,0-5 años,0-5 años,6-10 años,0-5 años,siempre,casi nunca,siempre,a veces,a veces,siempre,casi nunca,a veces,a veces,casi nunca,a veces,casi nunca,regular,regular,regular,bien,bien,regular,bien,bien,bien,regular,regular,bien
10260,California,27,Hombre,Escuela secundaria,0-5 años,6-10 años,0-5 años,0-5 años,6-10 años,0-5 años,0-5 años,6-10 años,0-5 años,6-10 años,6-10 años,0-5 años,0-5 años,11-15 años,0-5 años,0-5 años,6-10 años,0-5 años,casi siempre,a veces,siempre,casi siempre,casi nunca,casi siempre,siempre,a veces,siempre,casi siempre,a veces,casi siempre,excelente,regular,excelente,excelente,regular,bien,excelente,regular,bien,excelente,regular,bien
27137,California,,Mujer,"Universidad (diplomatura, licenciatura.)",0-5 años,6-10 años,0-5 años,más de 20 años,más de 20 años,más de 20 años,11-15 años,más de 20 años,0-5 años,más de 20 años,más de 20 años,0-5 años,,0-5 años,más de 20 años,más de 20 años,más de 20 años,0-5 años,siempre,siempre,siempre,siempre,nunca,siempre,siempre,siempre,a veces,siempre,siempre,casi nunca,excelente,excelente,regular,excelente,excelente,excelente,excelente,excelente,mal,excelente,excelente,mal
71050,California,,Hombre,Escuela secundaria,6-10 años,más de 20 años,0-5 años,6-10 años,aún no me siento cómodo,0-5 años,6-10 años,más de 20 años,0-5 años,11-15 años,0-5 años,11-15 años,6-10 años,11-15 años,más de 20 años,más de 20 años,11-15 años,más de 20 años,siempre,casi siempre,siempre,siempre,a veces,siempre,siempre,a veces,casi siempre,a veces,a veces,casi siempre,regular,regular,excelente,bien,regular,excelente,regular,regular,mal,bien,mal,mal
30287,New York,,Hombre,Menos de la escuela secundaria,0-5 años,más de 20 años,0-5 años,0-5 años,más de 20 años,0-5 años,6-10 años,0-5 años,6-10 años,más de 20 años,más de 20 años,más de 20 años,más de 20 años,0-5 años,más de 20 años,más de 20 años,más de 20 años,0-5 años,siempre,a veces,a veces,siempre,a veces,a veces,casi nunca,a veces,nunca,siempre,a veces,a veces,bien,regular,excelente,excelente,regular,excelente,bien,mal,mal,bien,mal,mal
72760,New York,,Mujer,Menos de la escuela secundaria,0-5 años,más de 20 años,0-5 años,0-5 años,más de 20 años,0-5 años,6-10 años,,,11-15 años,6-10 años,11-15 años,0-5 años,0-5 años,11-15 años,11-15 años,0-5 años,,siempre,a veces,a veces,siempre,a veces,a veces,a veces,a veces,nunca,siempre,a veces,a veces,bien,mal,regular,bien,regular,bien,bien,mal,mal,regular,mal,mal
22749,New York,37,Hombre,Un poco de universidad,0-5 años,más de 20 años,0-5 años,16-20 años,aún no me siento cómodo,6-10 años,6-10 años,0-5 años,0-5 años,más de 20 años,16-20 años,16-20 años,más de 20 años,0-5 años,más de 20 años,0-5 años,16-20 años,0-5 años,siempre,a veces,casi siempre,casi siempre,a veces,casi siempre,nunca,casi siempre,nunca,casi nunca,nunca,casi nunca,bien,regular,excelente,bien,regular,bien,bien,regular,mal,regular,mal,mal
73754,New York,,Hombre,Escuela secundaria,11-15 años,más de 20 años,0-5 años,11-15 años,aún no me siento cómodo,0-5 años,6-10 años,16-20 años,0-5 años,16-20 años,más de 20 años,0-5 años,16-20 años,más de 20 años,0-5 años,16-20 años,más de 20 años,0-5 años,casi siempre,casi siempre,casi siempre,casi nunca,siempre,nunca,casi siempre,casi siempre,casi siempre,a veces,a veces,siempre,bien,regular,excelente,bien,regular,excelente,excelente,regular,mal,excelente,regular,mal
59147,New York,38,Mujer,Escuela secundaria,6-10 años,más de 20 años,0-5 años,6-10 años,aún no me siento cómodo,0-5 años,6-10 años,más de 20 años,0-5 años,6-10 años,16-20 años,0-5 años,,,,6-10 años,16-20 años,0-5 años,casi siempre,a veces,casi siempre,casi siempre,a veces,casi siempre,casi siempre,a veces,nunca,casi siempre,casi nunca,casi siempre,regular,mal,bien,bien,regular,bien,bien,mal,mal,bien,mal,mal
69055,California,22,Mujer,Escuela secundaria,0-5 años,nunca aprendí,0-5 años,11-15 años,aún no me siento cómodo,más de 20 años,6-10 años,0-5 años,0-5 años,11-15 años,0-5 años,más de 20 años,11-15 años,0-5 años,más de 20 años,11-15 años,0-5 años,más de 20 años,a veces,nunca,siempre,a veces,nunca,casi siempre,casi siempre,nunca,a veces,a veces,nunca,a veces,regular,mal,bien,bien,mal,excelente,regular,mal,mal,regular,mal,mal
90367,California,39,Mujer,Menos de la escuela secundaria,0-5 años,nunca aprendí,0-5 años,16-20 años,aún no me siento cómodo,más de 20 años,6-10 años,0-5 años,0-5 años,16-20 años,16-20 años,más de 20 años,11-15 años,0-5 años,más de 20 años,16-20 años,0-5 años,más de 20 años,casi siempre,nunca,siempre,casi siempre,nunca,siempre,casi siempre,nunca,siempre,casi nunca,nunca,siempre,bien,mal,excelente,bien,mal,excelente,regular,mal,excelente,regular,mal,mal
73550,California,40,Mujer,Escuela secundaria,11-15 años,nunca aprendí,0-5 años,16-20 años,aún no me siento cómodo,más de 20 años,6-10 años,0-5 años,0-5 años,más de 20 años,más de 20 años,más de 20 años,16-20 años,0-5 años,más de 20 años,16-20 años,0-5 años,más de 20 años,casi siempre,nunca,siempre,casi siempre,nunca,siempre,casi siempre,nunca,siempre,a veces,nunca,siempre,bien,mal,excelente,bien,mal,excelente,regular,mal,excelente,regular,mal,excelente
36163,California,59,Hombre,Menos de la escuela secundaria,16-20 años,nunca aprendí,0-5 años,más de 20 años,aún no me siento cómodo,más de 20 años,0-5 años,0-5 años,0-5 años,más de 20 años,más de 20 años,11-15 años,más de 20 años,0-5 años,más de 20 años,más de 20 años,0-5 años,0-5 años,siempre,nunca,siempre,siempre,nunca,siempre,siempre,nunca,nunca,a veces,nunca,a veces,bien,mal,bien,bien,mal,bien,regular,mal,mal,mal,mal,mal
10129,California,32,Hombre,Escuela secundaria,6-10 años,nunca aprendí,0-5 años,más de 20 años,0-5 años,más de 20 años,0-5 años,0-5 años,0-5 años,6-10 años,6-10 años,más de 20 años,6-10 años,0-5 años,más de 20 años,6-10 años,0-5 años,más de 20 años,siempre,nunca,siempre,a veces,nunca,siempre,siempre,nunca,siempre,a veces,nunca,siempre,bien,mal,excelente,bien,mal,excelente,bien,mal,excelente,bien,mal,excelente
40940,California,,Mujer,Menos de la escuela secundaria,6-10 años,nunca aprendí,0-5 años,6-10 años,aún no me siento cómodo,más de 20 años,0-5 años,0-5 años,0-5 años,6-10 años,6-10 años,más de 20 años,6-10 años,0-5 años,más de 20 años,6-10 años,0-5 años,más de 20 años,a veces,nunca,siempre,a veces,nunca,siempre,a veces,nunca,casi siempre,a veces,nunca,siempre,regular,mal,excelente,regular,mal,excelente,regular,mal,mal,regular,mal,mal
38461,New York,,Hombre,Escuela secundaria,6-10 años,nunca aprendí,0-5 años,más de 20 años,aún no me siento cómodo,más de 20 años,,,,más de 20 años,más de 20 años,más de 20 años,más de 20 años,,más de 20 años,16-20 años,más de 20 años,más de 20 años,siempre,siempre,siempre,siempre,casi nunca,casi siempre,casi siempre,casi siempre,casi siempre,casi siempre,,casi siempre,bien,mal,excelente,bien,mal,excelente,bien,mal,bien,regular,mal,regular
42625,California,22,Mujer,Escuela secundaria,11-15 años,,0-5 años,0-5 años,,más de 20 años,0-5 años,,,0-5 años,,más de 20 años,0-5 años,,más de 20 años,0-5 años,,más de 20 años,casi nunca,nunca,siempre,a veces,nunca,siempre,a veces,nunca,siempre,a veces,nunca,siempre,regular,mal,excelente,regular,mal,excelente,regular,mal,excelente,regular,mal,regular